,cluster,bin
0,89215380063ffff,2
1,8921538006fffff,1
2,89215380093ffff,1
3,89215380097ffff,5
4,892153800a3ffff,2
5,892153800b3ffff,1
6,89215380103ffff,4
7,89215380113ffff,6
8,8921538011bffff,2
9,89215380127ffff,1
10,89215380133ffff,1
11,89215380147ffff,1
12,89215380187ffff,5
13,89215380197ffff,2
14,892153801afffff,1
15,892153801b3ffff,3
16,892153801bbffff,4
17,892153801cfffff,1
18,89215380397ffff,1
19,8921538039bffff,1
20,89215380403ffff,17
21,8921538040bffff,2
22,89215380413ffff,35
23,89215380417ffff,7
24,8921538041bffff,15
25,89215380427ffff,3
26,89215380437ffff,6
27,89215380443ffff,3
28,89215380447ffff,5
29,8921538044bffff,8
30,8921538044fffff,5
31,89215380453ffff,8
32,89215380457ffff,16
33,8921538045bffff,26
34,8921538046fffff,1
35,89215380473ffff,23
36,8921538047bffff,2
37,89215380483ffff,25
38,89215380487ffff,16
39,8921538048bffff,9
40,89215380497ffff,6
41,8921538049bffff,2
42,892153804abffff,3
43,892153804b3ffff,5
44,892153804c3ffff,9
45,892153804c7ffff,40
46,892153804cbffff,2
47,892153804cfffff,19
48,892153804d3ffff,13
49,892153804d7ffff,7
50,892153804dbffff,4
51,89215380507ffff,7
52,8921538050fffff,7
53,89215380513ffff,7
54,89215380523ffff,2
55,89215380527ffff,11
56,8921538052bffff,1
57,8921538052fffff,4
58,89215380533ffff,1
59,89215380537ffff,1
60,8921538053bffff,4
61,89215380547ffff,6
62,89215380553ffff,8
63,89215380557ffff,2
64,89215380563ffff,5
65,89215380573ffff,5
66,89215380577ffff,1
67,8921538057bffff,5
68,89215380587ffff,7
69,8921538058bffff,5
70,8921538058fffff,2
71,89215380593ffff,12
72,89215380597ffff,16
73,8921538059bffff,6
74,892153805a3ffff,2
75,892153805a7ffff,4
76,892153805abffff,2
77,892153805b3ffff,6
78,892153805b7ffff,6
79,892153805c7ffff,8
80,892153805cbffff,12
81,892153805d7ffff,4
82,89215380613ffff,2
83,89215380617ffff,6
84,89215380623ffff,8
85,8921538062bffff,4
86,8921538062fffff,1
87,89215380633ffff,12
88,89215380637ffff,3
89,8921538063bffff,1
90,89215380643ffff,2
91,89215380653ffff,5
92,89215380657ffff,1
93,89215380673ffff,1
94,89215380677ffff,4
95,89215380683ffff,16
96,89215380687ffff,7
97,8921538068bffff,39
98,8921538068fffff,6
99,89215380693ffff,12
100,89215380697ffff,10
101,8921538069bffff,20
102,892153806a3ffff,5
103,892153806abffff,8
104,892153806afffff,7
105,892153806b3ffff,1
106,892153806b7ffff,2
107,892153806bbffff,4
108,892153806c3ffff,2
109,892153806c7ffff,11
110,892153806cfffff,2
111,892153806d7ffff,1
112,892153806dbffff,2
113,892153808a3ffff,1
114,892153808b7ffff,1
115,892153808cfffff,1
116,89215380913ffff,4
117,89215380983ffff,3
118,8921538098fffff,3
119,89215380993ffff,2
120,8921538099bffff,2
121,892153809d3ffff,1
122,892153809d7ffff,3
123,89215380c1bffff,2
124,89215380c47ffff,1
125,89215380c4bffff,4
126,89215380c4fffff,1
127,89215380c83ffff,4
128,89215380c87ffff,1
129,89215380c93ffff,3
130,89215380c9bffff,1
131,89215380ca3ffff,1
132,89215380cb3ffff,2
133,89215380cc3ffff,3
134,89215380cc7ffff,2
135,89215380ccbffff,1
136,89215380cd3ffff,9
137,89215380d03ffff,1
138,89215380d17ffff,8
139,89215380d67ffff,1
140,89215380d97ffff,2
