,cluster,mean,count,sum,hex_location
0,89215900083ffff,8355.708333333332,31.0,258665.0,"((52.23175425754298, 77.02277290095954), (52.22994422327796, 77.02403663304355), (52.22969617404503, 77.02722868414602), (52.231258136648606, 77.02915721923956), (52.23306821133049, 77.02789365372347), (52.23331628299325, 77.0247013865341))"
1,89215900413ffff,20161.734876746395,404.0,958962.0,"((52.2407270302732, 76.99536671214584), (52.23891730547229, 76.99663175383795), (52.23866997841831, 76.99982466261866), (52.240232353813575, 77.00175274593454), (52.24204211909779, 77.00048787072116), (52.242289468504744, 76.99729474570138))"
2,89215900417ffff,300000.0,1.0,300000.0,"((52.24204211909779, 77.00048787072116), (52.240232353813575, 77.00175274593454), (52.23998488771823, 77.00494569201626), (52.24154716454096, 77.00687397911017), (52.24335697029728, 77.00560927041278), (52.243604458760075, 77.00241610809368))"
3,89215900433ffff,105416.05902777778,229.0,1152975.0,"((52.241299559397596, 77.01006696244183), (52.2394896998127, 77.01133144246049), (52.23924197800906, 77.01452424678541), (52.24080409339721, 77.01645278728549), (52.24261399343194, 77.01518847383052), (52.242861737629966, 77.01199545329997))"
4,89215900463ffff,2358.2758620689656,58.0,136780.0,"((52.23118319144098, 77.00807566797147), (52.22937329181812, 77.00933996164223), (52.22912563718577, 77.01253211752078), (52.23068785978912, 77.01446019583717), (52.232497799862315, 77.01319606864948), (52.232745476883125, 77.0100036966505))"
5,8921590047bffff,8370.175324675325,18.0,129277.0,"((52.22986834546181, 77.0029555081861), (52.22805848630048, 77.00421996830265), (52.22781097066499, 77.00741208697556), (52.22937329181812, 77.00933996164223), (52.23118319144098, 77.00807566797147), (52.23143072945048, 77.00488333317648))"
6,8921590048bffff,8962.747736803502,7255.0,30887067.979999997,"((52.24278391155952, 76.99090835410519), (52.24097424063098, 76.99217362447642), (52.2407270302732, 76.99536671214584), (52.242289468504744, 76.99729474570138), (52.24409917992762, 76.99602964179844), (52.2443464126259, 76.99283633785987))"
7,89215900493ffff,21637.623529411765,87.0,192396.0,"((52.24821278977002, 76.98711196106247), (52.246403186135026, 76.98837752240814), (52.2461560701657, 76.99157100524619), (52.24771853550273, 76.99349914305441), (52.24952817964296, 76.99223374819347), (52.24977531794225, 76.98904004902776))"
8,892159004c7ffff,12207.682810647793,966.0,2011848.0,"((52.239411703848035, 76.9902457947516), (52.23760201954163, 76.99151100288512), (52.23735483152237, 76.99470387431383), (52.23891730547229, 76.99663175383795), (52.2407270302732, 76.99536671214584), (52.24097424063098, 76.99217362447642))"
9,892159004d7ffff,13308.458878382376,1751.0,9762074.0,"((52.24146840558627, 76.98578730768138), (52.23965877516331, 76.98705274448356), (52.239411703848035, 76.9902457947516), (52.24097424063098, 76.99217362447642), (52.24278391155952, 76.99090835410519), (52.24303100520083, 76.98771508756636))"
