,bin,lat,lon,cluster,ОКЭД,Наименование основного вида деятельности,Наименование КРП,Юридическая форма,mean,count,sum
0,000140002415,76.907556,52.30741,89215910a13ffff,46751.0,Оптовая торговля химическими веществами и химическими продуктами,Малые предприятия (21-30),Юрлицо,17825.0,2.0,35650.0
1,000140006646,76.108334,53.064051,89215d30837ffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,5250.0,4.0,21000.0
2,000240005255,76.947477,52.259892,89215902663ffff,86210.0,Общая врачебная практика,Малые предприятия (31-40),Юрлицо,21745.93421052632,76.0,1652691.0
3,000240006987,76.964078,52.291009,8921590242fffff,86210.0,Общая врачебная практика,Малые предприятия (11-15),Юрлицо,2620.4210526315787,190.0,497880.0
4,000313551227,76.974714,52.289825,8921590254bffff,47241.0,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,338.3333333333333,9.0,3045.0
5,000340000733,76.957835,52.296759,892159024afffff,47789.0,"Прочая розничная торговля в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,18372.5625,16.0,293961.0
6,000340005833,75.319802,51.724403,89215801c17ffff,93110.0,Эксплуатация спортивных сооружений,Средние предприятия (101-150),Юрлицо,1573.125,40.0,62925.0
7,000440000975,76.951178,52.275583,892159026a7ffff,47641.0,"Розничная торговля спортивным оборудованием в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,,,
8,000440001110,76.940722,52.285577,89215902457ffff,46690.0,Оптовая торговля прочими машинами и оборудованием,Малые предприятия (31-40),Юрлицо,,,
9,000440005649,76.990758,52.277643,89215902023ffff,85599.0,"Прочая деятельность в области образования, не включенная в другие группировки",Малые предприятия (6 - 10),Юрлицо,,,
10,000441006533,76.939788,52.291483,89215902413ffff,47621.0,"Розничная торговля газетами, журналами и канцелярскими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (31-40),Филиал,,,
11,000523650623,76.967303,52.270265,89215902053ffff,96090.0,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",Малые предприятия (<= 5),ИП,4200.0,10.0,42000.0
12,000540004703,76.940785,52.28128,8921590244fffff,82912.0,"Деятельность агентств по сбору платежей и кредитных бюро, за исключением государственного",Средние предприятия (151-200),Юрлицо,3273.176304654443,2127.0,6962046.0
13,000640001504,76.942995,52.289907,89215902403ffff,69109.0,Прочая деятельность в области права,Малые предприятия (<= 5),Юрлицо,,,
14,000740001151,76.948349,52.282542,8921590247bffff,86230.0,Стоматологическая деятельность,Малые предприятия (11-15),Юрлицо,17032.25806451613,31.0,528000.0
15,000908550977,76.971292,52.292645,89215902553ffff,45321.0,"Розничная торговля автомобильными деталями, узлами и принадлежностями в торговых объектах с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,11656.862745098038,51.0,594500.0
16,000911550071,77.007054,52.297272,89215902197ffff,56210.0,Доставка готовой пищи на заказ,Малые предприятия (<= 5),ИП,4044.1666666666665,12.0,48530.0
17,000920650582,76.983437,52.279517,892159020abffff,47711.0,"Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,59629.51612903226,31.0,1848515.0
18,000940000110,76.965695,52.275539,892159020cfffff,86230.0,Стоматологическая деятельность,Малые предприятия (11-15),Юрлицо,28008.108108108107,37.0,1036300.0
19,000940000616,76.954421,52.286729,89215902477ffff,93110.0,Эксплуатация спортивных сооружений,Малые предприятия (21-30),Юрлицо,1835.9375,192.0,352500.0
20,001140003317,77.419201,52.907172,89214a791a3ffff,36000.0,"Сбор, обработка и распределение воды",Малые предприятия (21-30),Юрлицо,14474.29411764706,17.0,246063.0
21,001141000873,76.940722,52.285577,89215902457ffff,71209.0,"Деятельность прочих учреждений, осуществляющих технические испытания и анализы",Малые предприятия (51-100),Филиал,6489.468468468468,111.0,720331.0
22,001141001019,76.968291,52.287302,89215902097ffff,45113.0,Розничная торговля автомобилями и легкими автотранспортными средствами  в торговых объектах с торговой площадью более 2000 кв.м (2000 кв.м и выше),Малые предприятия (6 - 10),Филиал,,,
23,001205650171,76.926412,52.032383,8921590b343ffff,47211.0,"Розничная торговля фруктами и овощами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,821.5227272727273,44.0,36147.0
24,001217650464,77.425408,52.910213,89214a791a7ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,48290.0,15.0,724350.0
25,010140003990,76.959335,52.308583,89215910b77ffff,10612.0,Производство круп,Малые предприятия (21-30),Юрлицо,181850.0,1.0,181850.0
26,010140005471,76.959614,52.282057,8921590246fffff,86230.0,Стоматологическая деятельность,Малые предприятия (21-30),Юрлицо,15673.076923076924,52.0,815000.0
27,010240005554,75.288388,51.715258,89215801117ffff,47731.0,"Розничная торговля фармацевтическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (16-20),Юрлицо,840.2422736156351,1535.0,1289771.89
28,010440005819,76.967878,52.274299,892159020cfffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,1639.491935483871,124.0,203297.0
29,010528550606,75.319038,51.730701,89215801c87ffff,56101.0,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",Малые предприятия (<= 5),ИП,1161.3636363636365,11.0,12775.0
30,010530650574,75.459912,53.329359,89215d84b6fffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2450.673076923077,52.0,127435.0
31,010540006117,76.937569,52.300939,89215902497ffff,85322.0,Среднее специальное образование,Малые предприятия (21-30),Юрлицо,18000.0,2.0,36000.0
32,010617550987,75.458673,53.333037,89215d84b63ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2162.323943661972,142.0,307050.0
33,010626550202,75.319506,51.725608,89215801c17ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,289000.0,1.0,289000.0
34,010640001992,76.949256,52.263607,89215902677ffff,71209.0,"Деятельность прочих учреждений, осуществляющих технические испытания и анализы",Малые предприятия (<= 5),Юрлицо,,,
35,010640005023,76.995196,52.251496,8921590235bffff,36000.0,"Сбор, обработка и распределение воды",Крупные предприятия (501-1000),Юрлицо,16662.0,5.0,83310.0
36,010640005767,75.307962,51.725759,89215801cd7ffff,86210.0,Общая врачебная практика,Малые предприятия (6 - 10),Юрлицо,3546.6666666666665,42.0,148960.0
37,010640006874,76.964842,52.295393,892159025cbffff,86230.0,Стоматологическая деятельность,Малые предприятия (6 - 10),Юрлицо,16933.333333333332,6.0,101600.0
38,010716550707,76.926529,52.035985,8921590b357ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,489.0769230769231,39.0,19074.0
