,cluster,sum
0,89215380063ffff,812422.0
1,8921538006fffff,3161843.0
2,89215380093ffff,174000.0
3,89215380097ffff,3755685.0
4,892153800a3ffff,2830056.0
5,892153800b3ffff,15500.0
6,89215380103ffff,3851565.06
7,89215380113ffff,5398194.0
8,8921538011bffff,3217451.0
9,89215380127ffff,953560.0
10,89215380133ffff,14580.0
11,89215380147ffff,105350.0
12,89215380187ffff,8942585.0
13,89215380197ffff,646055.0
14,892153801afffff,66600.0
15,892153801b3ffff,3380274.0
16,892153801bbffff,12974080.0
17,892153801cfffff,51000.0
18,89215380397ffff,1014128.0
19,8921538039bffff,29965.0
20,89215380403ffff,48432443.5
21,8921538040bffff,5034617.0
22,89215380413ffff,97581667.0
23,89215380417ffff,11972179.0
24,8921538041bffff,106089125.26
25,89215380427ffff,1369050.0
26,89215380437ffff,4394781.0
27,89215380443ffff,5153722.15
28,89215380447ffff,3247416.0
29,8921538044bffff,6832828.0
30,8921538044fffff,1947675.0
31,89215380453ffff,21812924.0
32,89215380457ffff,37563933.0
33,8921538045bffff,252470838.77999997
34,8921538046fffff,82357.0
35,89215380473ffff,50532360.0
36,8921538047bffff,2639335.3900000006
37,89215380483ffff,862962236.9000001
38,89215380487ffff,19744578.32
39,8921538048bffff,73238119.0
40,89215380497ffff,139413234.25
41,8921538049bffff,2197342.0
42,892153804abffff,3926964.0
43,892153804b3ffff,4574214.0
44,892153804c3ffff,19340202.009999998
45,892153804c7ffff,69358671.97
46,892153804cbffff,2435839.0
47,892153804cfffff,43104408.33
48,892153804d3ffff,40464509.0
49,892153804d7ffff,8131992.0
50,892153804dbffff,6097069.0
51,89215380507ffff,14038020.0
52,8921538050fffff,6169643.33
53,89215380513ffff,43405618.6
54,89215380523ffff,109450.0
55,89215380527ffff,5372129.479999999
56,8921538052bffff,2424202.0
57,8921538052fffff,2623536.0
58,89215380533ffff,467000.0
59,89215380537ffff,1554945.0
60,8921538053bffff,1785360.0
61,89215380547ffff,9900016.850000003
62,89215380553ffff,13397181.0
63,89215380557ffff,117300.0
64,89215380563ffff,4262261.23
65,89215380573ffff,4031274.0
66,89215380577ffff,785999.0
67,8921538057bffff,11477796.869999997
68,89215380587ffff,3701177.0
69,8921538058bffff,17285262.0
70,8921538058fffff,2576045.0
71,89215380593ffff,111214792.00000003
72,89215380597ffff,27551091.0
73,8921538059bffff,17817157.0
74,892153805a3ffff,65414.0
75,892153805a7ffff,4377450.0
76,892153805abffff,2144888.0
77,892153805b3ffff,697682.0
78,892153805b7ffff,3691134.0
79,892153805c7ffff,43910072.24000056
80,892153805cbffff,20183625.16
81,892153805d7ffff,61010969.0
82,89215380613ffff,2028422.7999999998
83,89215380617ffff,6307444.0
84,89215380623ffff,7834093.620000002
85,8921538062bffff,3954165.45
86,8921538062fffff,99250.0
87,89215380633ffff,211404100.0
88,89215380637ffff,2449773.3200000003
89,8921538063bffff,58028.0
90,89215380643ffff,920000.0
91,89215380653ffff,412294.78
92,89215380657ffff,546515.0
93,89215380673ffff,156934650.0
94,89215380677ffff,1717734.0
95,89215380683ffff,33093282.0
96,89215380687ffff,7559223.41
97,8921538068bffff,116591775.0
98,8921538068fffff,4727685.0
99,89215380693ffff,8013057.0
100,89215380697ffff,19154935.970000003
101,8921538069bffff,26111492.040000003
102,892153806a3ffff,2172595.62
103,892153806abffff,8673764.0
104,892153806afffff,4368518.0
105,892153806b3ffff,161302.0
106,892153806b7ffff,495592.0
107,892153806bbffff,1440397.75
108,892153806c3ffff,1202136.0
109,892153806c7ffff,42396943.0
110,892153806cfffff,1257624.0
111,892153806d7ffff,351125.0
112,892153806dbffff,1856209.0
113,892153808a3ffff,694500.0
114,892153808b7ffff,93160.0
115,892153808cfffff,1238280.0
116,89215380913ffff,2279612.86
117,89215380983ffff,936315.0
118,8921538098fffff,536660.0
119,89215380993ffff,126744.0
120,8921538099bffff,231731.0
121,892153809d3ffff,24100.0
122,892153809d7ffff,523262.0
123,89215380c1bffff,1780505.0
124,89215380c47ffff,708732.0
125,89215380c4bffff,44092400.0
126,89215380c4fffff,233260.0
127,89215380c83ffff,465830.0
128,89215380c87ffff,0.0
129,89215380c93ffff,292317.0
130,89215380c9bffff,101369.0
131,89215380ca3ffff,186950.0
132,89215380cb3ffff,4000415.0
133,89215380cc3ffff,31071983.0
134,89215380cc7ffff,332967.0
135,89215380ccbffff,245025.0
136,89215380cd3ffff,2663652.0
137,89215380d03ffff,41496361.0
138,89215380d17ffff,2756676.0
139,89215380d67ffff,156350.0
140,89215380d97ffff,5020.0
141,89215380da7ffff,1899857.0
142,89215380dabffff,12664113.0
143,89215380db3ffff,2157866.0
144,89215380db7ffff,10586468.0
145,89215381003ffff,3894966.0
146,8921538100bffff,112864.0
147,8921538100fffff,1023390.0
148,89215381017ffff,103245.0
149,8921538101bffff,12650.0
150,8921538108bffff,1431497.0
151,892153810c7ffff,1159703.0
152,89215381393ffff,34021.0
153,89215381427ffff,904819.0
154,89215381497ffff,3202789.39
155,89215381553ffff,5168032.000000001
156,8921538155bffff,824063.0
157,89215381583ffff,1616122.2599999988
158,89215381587ffff,1740918.0
159,892153815cbffff,1352011.2
160,89215382003ffff,26370586.0
161,89215382007ffff,14916065.0
162,8921538200bffff,343349.0
163,8921538200fffff,40930831.0
164,89215382013ffff,15690.0
165,89215382023ffff,56885717.090000026
166,89215382027ffff,4115549.0
167,8921538202bffff,4112394.9
168,8921538202fffff,12810336.399999999
169,89215382033ffff,627515.0
170,8921538203bffff,2816500.0
171,89215382043ffff,1663370.0
172,89215382047ffff,68580765.0
173,8921538204bffff,7139495.0
174,8921538204fffff,5709533.0
175,89215382053ffff,1356572.0
176,89215382057ffff,369860.0
177,8921538205bffff,2380579.0
178,89215382063ffff,25330083.0
179,89215382067ffff,65607972.0
180,8921538206bffff,83310813.66
181,8921538206fffff,1241777797.6
182,89215382073ffff,169162972.26
183,89215382077ffff,29212355.0
184,8921538207bffff,29749315.34
185,89215382087ffff,30964441.0
186,89215382097ffff,111446282.0
187,892153820a3ffff,51205052.35000002
188,892153820a7ffff,33575429.53
189,892153820abffff,4473098.0
190,892153820b3ffff,31423685.07
191,892153820b7ffff,22971261.0
192,892153820bbffff,78207948.8
193,892153820c3ffff,5981193.0
194,892153820cbffff,446500.0
195,892153820cfffff,0.0
196,892153820dbffff,0.0
197,89215382103ffff,74038529.06
198,89215382107ffff,186716610.7
199,8921538210bffff,99529699.21999995
200,8921538210fffff,45176278.0
201,89215382113ffff,249066889.86
202,89215382117ffff,22336430.2
203,8921538211bffff,73278210.6
204,89215382123ffff,98085.0
205,89215382127ffff,1141171.0
206,8921538212bffff,34774904.010000005
207,8921538212fffff,302406667.0
208,89215382133ffff,2359437.0
